"famille","classes","ids","cles","formes","gloses","dependances","risque","decision_proposee","question_a_david"
"article_defini_masculin","C","113|297|311","EL_DEFINITE_ARTICLE_MASCULINE|LE_ARTICLE|PRONOM_DEFINI_MAS_SING","EL_DEFINITE_ARTICLE_MASCULINE=[es:el/adjective;fr:le/adjective;it:il/adjective] | LE_ARTICLE=[en:the/adverb;es:el/adverb;fr:le/adverb;it:il/adverb;pt:o/adverb] | PRONOM_DEFINI_MAS_SING=[en:of the/adverb;es:del/adverb;fr:du/adverb;it:del/adverb;pt:do/adverb]","EL_DEFINITE_ARTICLE_MASCULINE:FR=article défini masculin singulier;EN=definite article masculine singular | LE_ARTICLE:FR=article défini masculin singulier;EN=definite article masculine singular | PRONOM_DEFINI_MAS_SING:FR=article défini masculin singulier;EN=definite article masculine singular","EL_DEFINITE_ARTICLE_MASCULINE:{""forms"":3,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | LE_ARTICLE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PRONOM_DEFINI_MAS_SING:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille article_defini_masculin ?"
"etre","C+F","115|132|321|329","SER_VERB_TO_BE|SER|ETRE_VERBE|ETRE","SER_VERB_TO_BE=[en:be/verb;es:es/verb;fr:être/verb;it:essere/verb;pt:ser/verb] | SER=[es:ser/verb] | ETRE_VERBE=[en:to be/verb] | ETRE=[]","SER_VERB_TO_BE:FR=verbe d'état 'être';EN=verb expressing state 'to be' | SER:FR=exister ou avoir une certaine qualité;EN=to be, exist or have a quality | ETRE_VERBE:FR=Verbe d'existence ou d'état;EN=Verb of existence or state | ETRE:FR=Verbe servant à exprimer l'existence ou l'état;EN=Verb to express existence or state","SER_VERB_TO_BE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | SER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | ETRE_VERBE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | ETRE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille etre ?"
"travailler","F","129","TRABAJAR","TRABAJAR=[en:work/verb;es:trabajar/verb;fr:travailler/verb;it:lavorare/verb;pt:trabalhar/verb]","TRABAJAR:FR=exercer une activité professionnelle ou produire un effort;EN=to perform work; to exert effort","TRABAJAR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille travailler ?"
"beaucoup","F","130","MUCHO","MUCHO=[en:much/adverb;es:mucho/adverb;fr:beaucoup/adverb;it:molto/adverb;pt:muito/adverb]","MUCHO:FR=en grande quantité ou intensité;EN=in great quantity or intensity","MUCHO:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille beaucoup ?"
"cependant","F","131","SIN_EMBARGO","SIN_EMBARGO=[en:however/adverb;es:sin embargo/adverb;fr:cependant/adverb;it:tuttavia/adverb;pt:entretanto/adverb]","SIN_EMBARGO:FR=indique une opposition ou une restriction;EN=indicates opposition or restriction","SIN_EMBARGO:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille cependant ?"
"abandonner","F","134","ABANDONAR","ABANDONAR=[en:abandon/verb;es:abandonar/verb;fr:abandonner/verb;it:abbandonare/verb;pt:abandonar/verb]","ABANDONAR:FR=quitter ou renoncer à quelque chose;EN=to leave or give up something","ABANDONAR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille abandonner ?"
"projet","F","135","PROYECTO","PROYECTO=[en:project/noun;es:proyecto/noun;fr:projet/noun;it:progetto/noun;pt:projeto/noun]","PROYECTO:FR=plan ou programme pour réaliser quelque chose;EN=plan or program to achieve something","PROYECTO:{""forms"":5,""inflected_forms"":1,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille projet ?"
"consequence","C","136|152|192","POR_TANTO|DONC|PAR_CONSEQUENT","POR_TANTO=[en:therefore/adverb;es:por tanto/adverb;fr:par conséquent/adverb;it:pertanto/adverb;pt:portanto/adverb] | DONC=[fr:donc/adverb;it:quindi/adverb] | PAR_CONSEQUENT=[es:por consiguiente/adverb]","POR_TANTO:FR=indique une conséquence;EN=indicates a consequence | DONC:FR=conclusion ou conséquence;EN=therefore, so | PAR_CONSEQUENT:FR=indique une conséquence;EN=therefore, consequently","POR_TANTO:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | DONC:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PAR_CONSEQUENT:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille consequence ?"
"adapter","F","138","ADAPTAR","ADAPTAR=[en:adapt/verb;es:adaptar/verb;fr:adapter/verb;it:adattare/verb;pt:adaptar/verb]","ADAPTAR:FR=ajuster pour convenir à un nouvel usage ou condition;EN=to adjust to suit a new use or condition","ADAPTAR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille adapter ?"
"continuer_verbe","F","139|281","CONTINUAR|CONTINUER_VERB","CONTINUAR=[en:continue/verb;es:continuar/verb;fr:continuer/verb;it:continuare/verb;pt:continuar/verb] | CONTINUER_VERB=[]","CONTINUAR:FR=poursuivre une action ou un état;EN=to continue an action or state | CONTINUER_VERB:FR=poursuivre une action sans interruption;EN=to continue without interruption","CONTINUAR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | CONTINUER_VERB:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille continuer_verbe ?"
"parce_que","F","140","PORQUE","PORQUE=[en:because/adverb;es:porque/adverb;fr:parce que/adverb;it:perché/adverb;pt:porque/adverb]","PORQUE:FR=indique une cause ou une raison;EN=indicates cause or reason","PORQUE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille parce_que ?"
"trouver","F","141","ENCONTRAR","ENCONTRAR=[en:find/verb;es:encontrar/verb;fr:trouver/verb;it:trovare/verb;pt:encontrar/verb]","ENCONTRAR:FR=découvrir ou localiser quelque chose ou quelqu’un;EN=to find or locate something or someone","ENCONTRAR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille trouver ?"
"souffrir","C","204","SOUFFRIR_VERB","SOUFFRIR_VERB=[en:suffer/verb]","SOUFFRIR_VERB:FR=ressentir une douleur ou une détresse;EN=to feel pain or distress","SOUFFRIR_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille souffrir ?"
"global","F","169","GLOBALE","GLOBALE=[en:global/adjective;es:global/adjective;fr:global/adjective;it:globale/adjective;pt:global/adjective]","GLOBALE:FR=qui concerne l’ensemble;EN=concerning the whole","GLOBALE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille global ?"
"augmenter","C+D","173|207","AUGMENTATION|AUGMENTER_VERB","AUGMENTATION=[en:increase/noun;es:aumento/noun;fr:augmentation/noun;it:aumento/noun;pt:aumento/noun] | AUGMENTER_VERB=[en:increase/verb]","AUGMENTATION:FR=action d’augmenter;EN=act of increasing | AUGMENTER_VERB:FR=devenir plus grand ou plus nombreux;EN=to become larger or more numerous","AUGMENTATION:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | AUGMENTER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille augmenter ?"
"constant","F","171","CONSTANT","CONSTANT=[en:constant/adjective;es:constante/adjective;fr:constant/adjective;it:costante/adjective;pt:constante/adjective]","CONSTANT:FR=qui ne change pas;EN=unchanging","CONSTANT:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille constant ?"
"produire","C+F","175|210|257|258|278|279|323|330","PRODUIRE|PRODUIRE_VERB|AGRICULTURAL_PRODUCTION|FOOD_SUPPLY|PRODUCTION_NOURRICIERE_NOUN|ALIMENTATION_NOUN|ALIMENTATION_HUMAINE|ALIMENTATION","PRODUIRE=[en:to produce/verb;es:producir/verb;fr:produire/verb;it:produrre/verb;pt:produzir/verb] | PRODUIRE_VERB=[en:produce/verb] | AGRICULTURAL_PRODUCTION=[en:agricultural production/noun;es:producción agrícola/noun;fr:production agricole/noun;it:produzione agricola/noun;pt:produção agrícola/noun] | FOOD_SUPPLY=[en:food supply/noun;es:alimentación/noun;fr:alimentation/noun;it:alimentazione/noun;pt:alimentação/noun] | PRODUCTION_NOURRICIERE_NOUN=[] | ALIMENTATION_NOUN=[en:food/noun] | ALIMENTATION_HUMAINE=[en:human food/noun;es:alimentación humana/noun;fr:alimentation humaine/noun;it:alimentazione umana/noun;pt:alimentação humana/noun] | ALIMENTATION=[en:feeding/noun]","PRODUIRE:FR=faire apparaître, engendrer;EN=to cause to appear, to generate | PRODUIRE_VERB:FR=faire apparaître, créer ou fabriquer;EN=to make, create or manufacture | AGRICULTURAL_PRODUCTION:FR=Production liée à l'agriculture;EN=Production related to agriculture | FOOD_SUPPLY:FR=Ensemble des aliments disponibles pour une population;EN=Set of foods available for a population | PRODUCTION_NOURRICIERE_NOUN:FR=Fabrication ou culture d'aliments;EN=Production or cultivation of food | ALIMENTATION_NOUN:FR=Action de se nourrir ou nourriture;EN=Act of feeding or food | ALIMENTATION_HUMAINE:FR=Nourriture destinée aux humains;EN=Food intended for humans | ALIMENTATION:FR=Action de se nourrir ou système de nourriture;EN=Act or system of feeding or nutrition","PRODUIRE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PRODUIRE_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | AGRICULTURAL_PRODUCTION:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | FOOD_SUPPLY:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | PRODUCTION_NOURRICIERE_NOUN:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | ALIMENTATION_NOUN:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0} | ALIMENTATION_HUMAINE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | ALIMENTATION:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille produire ?"
"humanite","F","177","HUMANITE","HUMANITE=[en:humanity/noun;es:humanidad/noun;fr:humanité/noun;it:umanità/noun;pt:humanidade/noun]","HUMANITE:FR=ensemble des humains;EN=all humans collectively","HUMANITE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1}","preuve insuffisante ou survivant ambigu","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille humanite ?"
"entier_total","D","178|225|268","ENTIER|TOTAL|TOTAL_ADJECTIVE","ENTIER=[en:entire/adjective;es:entero/adjective;fr:entier/adjective;it:intero/adjective;pt:inteiro/adjective] | TOTAL=[es:total/adjective;fr:total/adjective;it:totale/adjective;pt:total/adjective] | TOTAL_ADJECTIVE=[en:total/adjective]","ENTIER:FR=tout complet, total;EN=entire, whole | TOTAL:FR=complet, entier;EN=complete, total | TOTAL_ADJECTIVE:FR=Qui couvre toute la quantité;EN=Covering the entire quantity","ENTIER:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | TOTAL:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | TOTAL_ADJECTIVE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","proximité lexicale mais distinction sémantique/POS probable","maintenir distinct en attente d'une règle de nommage","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille entier_total ?"
"acceleration","C+D","183|214|282","ACCELERER|ACCELERE_ADJ|ACCELERER_VERB","ACCELERER=[en:to accelerate/verb;es:acelerar/verb;fr:accélérer/verb;it:accelerare/verb;pt:acelerar/verb] | ACCELERE_ADJ=[en:accelerated/adjective;es:acelerado/adjective;fr:accéléré/adjective;it:accelerato/adjective;pt:acelerado/adjective] | ACCELERER_VERB=[en:accelerate/verb]","ACCELERER:FR=augmenter la vitesse;EN=to increase speed | ACCELERE_ADJ:FR=qui s'accélère, devient plus rapide;EN=that accelerates, becomes faster | ACCELERER_VERB:FR=augmenter la vitesse ou l'intensité;EN=to increase speed or intensity","ACCELERER:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | ACCELERE_ADJ:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":1} | ACCELERER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""ic_features"":0,""connector_helps"":0,""indirect_pattern_rules"":0}","déplacement ou déduplication de contenu requis","arbitrage humain avant toute fusion ou suppression","Quelle entrée doit survivre, et quels contenus doivent rester distincts dans la famille acceleration ?"
