"entry_id","entry_key","semantic_domain_exact","semantic_domain_trimmed","frequency_exacte","french_lemma","gloss_fr","case_profile","outer_spaces","accents","punctuation","number_profile","probable_language_or_nature","related_variants","proposed_target","category","semantic_observation"
"14","PRESERVATIVE_ADDITIVE","food","food","1","","conservateur, substance qui préserve un aliment","minuscules","non","absents","aucune","singulier ou nom massif","anglais","FOOD_NUTRITION | nourriture","alimentation","B","Le conservateur est une substance alimentaire."
"15","WIDE_BROAD","description","description","5","large","large, de grande largeur","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","description","C","Large, long, sensible et naturel n’ont pas de domaine thématique commun."
"16","LONG_LENGTHY","description","description","5","long","long, de grande longueur","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","description","C","Large, long, sensible et naturel n’ont pas de domaine thématique commun."
"17","ANIMAL_CREATURE","biology","biology","1","animal","animal, être vivant non humain","minuscules","non","absents","aucune","singulier ou nom massif","anglais","","biologie","A","ANIMAL_CREATURE relève de la biologie."
"18","CULTURE_HUMAN","society","society","1","culture","culture, ensemble de pratiques et savoirs","minuscules","non","absents","aucune","singulier ou nom massif","anglais","société","société","A","CULTURE_HUMAN relève de la société."
"19","POLITICS_FIELD","politics","politics","2","politique","politique, domaine de gouvernement","minuscules","non","absents","aucune","singulier ou nom massif","anglais","","politique","A","NATION et POLITIQUE relèvent du champ politique."
"20","PROBLEM_DIFFICULTY","general","general","8","problème","problème, difficulté ou question à résoudre","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"21","MUSIC_ART","art","art","1","musique","musique, art des sons","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","art","D","MUSIC_ART relève directement de l’art."
"22","GENERAL_COMMON","general","general","8","général","général, commun ou global","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"23","DIFFERENT_NOT_SAME","general","general","8","différent","différent, pas identique","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"24","ASK_REQUEST","communication","communication","4","demander","demander, poser une requête","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","communication","D","Information, demande et échange d’informations sont cohérents."
"25","DEMAND_REQUIRE","communication","communication","4","","exiger, réclamer","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","communication","D","Information, demande et échange d’informations sont cohérents."
"26","REASONABLE_SENSIBLE","description","description","5","sensible","sensible, raisonnable","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","description","C","Large, long, sensible et naturel n’ont pas de domaine thématique commun."
"27","SENSITIVE_EMOTIONAL","description","description","5","","sensible, qui ressent facilement / sensitive","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","description","C","Large, long, sensible et naturel n’ont pas de domaine thématique commun."
"28","CURRENCY_MONEY","economy","economy","1","monnaie","monnaie, argent ou devise","minuscules","non","absents","aucune","singulier ou nom massif","anglais","économie","économie","A","MONNAIE relève de l’économie."
"29","SECONDARY_SCHOOL_FR","education","education","4","collège","collège, établissement scolaire intermédiaire","minuscules","non","absents","aucune","singulier ou nom massif","indéterminable","éducation","éducation","A","Université, bibliothèque et collège relèvent de l’éducation ; l’accent français est certain."
"30","COLLEGE_HE","education","education","4","","college, établissement d’enseignement supérieur","minuscules","non","absents","aucune","singulier ou nom massif","indéterminable","éducation","éducation","A","Université, bibliothèque et collège relèvent de l’éducation ; l’accent français est certain."
"31","ORGANIZATION_ENTITY","general","general","8","organisation","organisation, structure organisée","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"32","LANGUAGE_SYSTEM","language","language","1","langues","langue, système de communication","minuscules","non","absents","aucune","singulier ou nom massif","anglais","langue","langue","A","LANGUAGE_SYSTEM désigne une langue."
"33","SCIENTIFIC_PROPERTY","general","general","8","","scientifique","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"34","PROMOTE_ACTION","general","general","8","","promouvoir, favoriser","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"35","UNDERSTAND_COMPREHEND","general","general","8","comprendre","comprendre","minuscules","non","absents","aucune","singulier ou nom massif","anglais probable","","général","C","Important, problème, différent, organisation, scientifique, promouvoir et comprendre sont hétérogènes."
"36","SCHOOL_PLACE","école","école","1","école","école","minuscules","non","présents","aucune","singulier ou nom massif","français","","école","D","SCHOOL_PLACE correspond exactement."
"37","INTERNATIONAL","international","international","1","international","international","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","international","D","L’entrée correspond exactement."
"38","SPACE_PLANET","espace","espace","9","planète","Une planète, un corps céleste qui tourne autour d'une étoile","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"39","SPACE_STAR","espace","espace","9","étoile","Une étoile dans l’espace, un astre lumineux","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"40","SPACE_MOON","espace","espace","9","lune","Un satellite naturel, la lune autour d’une planète","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"41","SPACE_SATELLITE","espace","espace","9","satellite","Un objet artificiel qui orbite autour de la Terre ou d’autres corps","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"42","SPACE_ASTRONAUT","espace","espace","9","astronaute","Une personne qui voyage dans l’espace","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"43","SPACE_ORBIT","espace","espace","9","orbite","Le chemin qu’un objet fait autour d’un corps céleste","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"44","SPACE_TO_EXPLORE","espace","espace","9","explorer","Explorer l’espace, aller dans un lieu inconnu","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"45","SPACE_VAST","espace","espace","9","vaste","Très grand, immense, comme l’espace","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"46","SPACE_TO_LAUNCH","espace","espace","9","lancer","Lancer une fusée ou un engin spatial","minuscules","non","absents","aucune","singulier ou nom massif","français","","espace","D","Les neuf entrées portent sur l’espace astronomique."
"47","EDUCATION","éducation","éducation","6","éducation","Processus d'apprentissage et d'instruction","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"48","COOPERATION","relations sociales","relations sociales","1","coopération","Action de travailler ensemble vers un but commun","minuscules","non","absents","espaces internes","pluriel","français","","relations sociales","D","COOPERATION relève directement des relations sociales."
"49","CULTURAL","culture","culture","1","culturel","Relatif à la culture","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","culture","D","CULTURAL relève directement de la culture."
"50","UNIVERSITY","éducation","éducation","6","","Institution d'enseignement supérieur","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"51","ETUDIANT","éducation","éducation","6","étudiant","Personne qui étudie","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"52","OBSERVE","action","action","32","observer","Regarder attentivement","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"53","COMMUNICATION","communication","communication","4","communication","Action d'échanger des informations","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","communication","D","Information, demande et échange d’informations sont cohérents."
"54","ROMANCE_LANGUAGE","langue","langue","6","romanesque","Langue issue du latin","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"55","ACCESSIBLE","qualité","qualité","28","accessible","Facile d'accès","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"56","IMAGINE","cognition","cognition","4","imaginer","Se représenter mentalement","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","cognition","D","Imaginer, comprendre et réfléchir relèvent de la cognition."
"57","CIRCULATE","mouvement","mouvement","3","circuler","Se déplacer autour ou parmi","minuscules","non","absents","aucune","singulier ou nom massif","français","","mouvement","D","CIRCULER et SE LEVER relèvent du mouvement."
"58","QUICKLY","temps","temps","4","rapidement","D'une manière rapide","minuscules","non","absents","aucune","invariable","français","time | temps_manière","temps","C","RAPIDEMENT, QUAND, PREMIEREMENT et EVENEMENT mêlent temps, manière et discours."
"59","EXIST","existence","existence","2","exister","Être réel ou présent","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","existence","D","Les deux entrées EXISTER sont cohérentes."
"60","COMMON","qualité","qualité","28","commun","Partagé par plusieurs","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"61","COMPREHENSION","cognition","cognition","4","compréhension","Action de comprendre","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","cognition","D","Imaginer, comprendre et réfléchir relèvent de la cognition."
"62","CONTEXT","situation","situation","1","contexte","Ensemble des circonstances d'une situation","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","situation","D","CONTEXTE décrit une situation."
"63","TRAINING","éducation","éducation","6","formation","Processus d'enseignement ou de préparation","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"64","RESEARCH","science","science","3","recherche","Travail pour découvrir ou étudier","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","science","D","Phénomène, recherche et méthodologie relèvent de la science."
"65","INNOVATION","technologie","technologie","1","innovation","Introduction de nouveautés","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","technologie","D","INNOVATION relève de la technologie."
"66","EXPERIENCE","vie","vie","1","expérience","Connaissance acquise par la pratique","minuscules","non","absents","aucune","singulier ou nom massif","français","","vie","D","EXPERIENCE relève de la vie vécue."
"67","OBJECTIVE","but","but","1","objectif","But à atteindre","minuscules","non","absents","aucune","singulier ou nom massif","français","","but","D","OBJECTIVE correspond exactement."
"68","TRANSLATE","langue","langue","6","traduire","Rendre un texte d'une langue en une autre","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"69","WORD","langue","langue","6","mot","Unité de langage écrite ou orale","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"70","IDENTIFY","action","action","32","identifier","Reconnaître et nommer","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"71","ELEMENT","objet","objet","1","élément","Composant ou partie d'un tout","minuscules","non","absents","aucune","singulier ou nom massif","français","","objet","D","ELEMENT désigne un objet ou composant."
"72","FAMILIAR","qualité","qualité","28","familier","Bien connu, habituel","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"73","RECOGNIZE","action","action","32","reconnaître","Identifier par la mémoire ou l'examen","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"74","ENDING","langue","langue","6","terminaison","Terminaison d'un mot","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"75","USEFUL","qualité","qualité","28","utile","Qui sert à quelque chose","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"76","BUILD","action","action","32","construire","Assembler ou former","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"77","MEANING","langue","langue","6","sens","Sens d'un mot ou d'une phrase","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"78","WAY","manière","manière","3","manière","Manière de faire","minuscules","non","présents","aucune","singulier ou nom massif","français","","manière","D","MANIERE, SURTOUT et DIRECTEMENT expriment une manière ou modalité."
"79","PROGRESSIVE","qualité","qualité","28","progressif","Qui avance par étapes","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"80","METHODOLOGY","science","science","3","méthodologie","Ensemble de méthodes","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","science","D","Phénomène, recherche et méthodologie relèvent de la science."
"81","BASED","qualité","qualité","28","basé","Fondé sur quelque chose","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"82","OBSERVATION","action","action","32","observation","Action d'observer","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"83","COMPARISON","action","action","32","comparaison","Action de comparer","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"84","REFLECTION","cognition","cognition","4","réflexion","Action de réfléchir","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","cognition","D","Imaginer, comprendre et réfléchir relèvent de la cognition."
"85","ALLOW","action","action","32","permettre","Permettre","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"86","DEVELOP","action","action","32","développer","Faire croître ou progresser","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"87","STRATEGY","planification","planification","2","stratégie","Plan d'action pour atteindre un but","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","planification","D","STRATEGIE et PROJET relèvent de la planification."
"88","LASTING","qualité","qualité","28","durable","Qui dure longtemps","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"89","BETTER","qualité","qualité","28","meilleur","De meilleure qualité","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"90","TEXT","langue","langue","6","texte","Contenu écrit","minuscules","non","absents","aucune","singulier ou nom massif","français","language","langue","D","Langue romane, traduction, mot, terminaison, sens et texte sont cohérents."
"91","UNKNOWN","qualité","qualité","28","inconnu","Qui n'est pas connu","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"92","LA_DEFINITE_ARTICLE_FEMININE","grammaire","grammaire","19","la","article défini féminin singulier","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"93","Y_CONJUNCTION_AND","grammaire","grammaire","19","et","conjonction de coordination signifiant 'et'","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"94","ENTRE_PREPOSITION_AMONG_BETWEEN","relations spatiales","relations spatiales","1","entre","préposition exprimant une relation entre plusieurs entités","minuscules","non","absents","espaces internes","pluriel","français","","relations spatiales","D","ENTRE exprime une relation spatiale."
"95","UNIVERSIDAD_NOUN_UNIVERSITY","éducation","éducation","6","","établissement d'enseignement supérieur","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"96","BEAUCOUP_DE","quantité","quantité","10","beaucoup de","quantificateur exprimant une grande quantité","minuscules","non","présents","aucune","singulier ou nom massif","français","","quantité","C","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement."
"98","OBSERVAR_VERB_TO_OBSERVE","perception","perception","1","","regarder attentivement","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","perception","D","OBSERVER relève de la perception."
"99","QUE_CONJUNCTION_THAT","grammaire","grammaire","19","que","conjonction ou pronom relatif introduisant une proposition","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"100","ACADEMIQUE","éducation","éducation","6","académique","relatif à l'académie ou à l'enseignement","minuscules","non","présents","aucune","singulier ou nom massif","français","education","éducation","D","Éducation, université, étudiant, formation et académique sont cohérents."
"101","EN_PREPOSITION_IN_ON_AT","grammaire","grammaire","19","en","préposition de lieu ou temps fréquente","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"102","RESULTER","causalité","causalité","2","résulter","être le résultat de quelque chose","minuscules","non","présents","aucune","singulier ou nom massif","français","","causalité","D","RESULTER et CONSEQUENCE relèvent de la causalité."
"103","MAS_ADVERB_MORE","quantité","quantité","10","plus","adverbe de degré signifiant 'plus'","minuscules","non","présents","aucune","singulier ou nom massif","français","","quantité","C","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement."
"104","DE_PREPOSITION_OF_FROM","grammaire","grammaire","19","de","préposition exprimant la possession ou origine","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"105","LO_DEFINITE_ARTICLE_NEUTER","grammaire","grammaire","19","le (neutre)","article défini neutre en espagnol et autres","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"106","IMAGINAR_VERB_TO_IMAGINE","cognition","cognition","4","","se former une image mentale","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","cognition","D","Imaginer, comprendre et réfléchir relèvent de la cognition."
"107","CIRCULAR_VERB_TO_CIRCULATE","mouvement","mouvement","3","","se déplacer en cercle ou se répandre","minuscules","non","absents","aucune","singulier ou nom massif","français","","mouvement","D","CIRCULER et SE LEVER relèvent du mouvement."
"108","CUANDO_CONJUNCTION_WHEN","temps","temps","4","quand","conjonction de temps signifiant 'quand'","minuscules","non","absents","aucune","invariable","français","time | temps_manière","temps","C","RAPIDEMENT, QUAND, PREMIEREMENT et EVENEMENT mêlent temps, manière et discours."
"109","EXISTIR_VERB_TO_EXIST","existence","existence","2","","avoir une réalité, être présent","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","existence","D","Les deux entrées EXISTER sont cohérentes."
"110","UNO_DETERMINER_INDEFINITE_ONE_A","grammaire","grammaire","19","un","article indéfini singulier masculin ou pronom","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"111","ESPECIALMENTE_ADVERB_ESPECIALLY","manière","manière","3","surtout","adverbe marquant une intensité ou une exception","minuscules","non","présents","aucune","singulier ou nom massif","français","","manière","D","MANIERE, SURTOUT et DIRECTEMENT expriment une manière ou modalité."
"112","ESTE_DEMONSTRATIVE_THIS","grammaire","grammaire","19","ce/cette","déterminant démonstratif masculin singulier","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"113","EL_DEFINITE_ARTICLE_MASCULINE","grammaire","grammaire","19","le","article défini masculin singulier","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"114","NO_ADVERB_NEGATION","grammaire","grammaire","19","ne... pas","adverbe de négation","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"115","SER_VERB_TO_BE","grammaire","grammaire","19","être","verbe d'état 'être'","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"116","CADA_DETERMINER_EACH_EVERY","quantité","quantité","10","chaque","déterminant indiquant une unité dans un ensemble","minuscules","non","présents","aucune","singulier ou nom massif","français","","quantité","C","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement."
"117","SINO_CONJUNCTION_BUT_RATHER","grammaire","grammaire","19","mais","conjonction exprimant une opposition","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"122","PERMITIR_VERB_TO_ALLOW","action","action","32","","donner la permission ou rendre possible","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"124","PARA_PREPOSITION_FOR_TO","grammaire","grammaire","19","pour","préposition indiquant le but ou la destination","minuscules","non","absents","aucune","singulier ou nom massif","français","Grammaire","grammaire","D","Les 19 entrées sont des mots ou fonctions grammaticales."
"126","RESULTAT","économie","économie","3","résultat","résultat d'une action ou d'un événement","minuscules","non","présents","aucune","singulier ou nom massif","français","economy","économie","C","PRODUCTION_AGRICOLE est économique, mais RESULTAT et ALIMENTATION ne le sont pas nécessairement."
"127","MODESTE","qualité","qualité","28","modeste","qui a une faible importance ou intensité","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"128","PARTICIPANT","personne","personne","1","participant","personne qui prend part à une activité ou un événement","minuscules","non","absents","aucune","singulier ou nom massif","français","","personne","D","PARTICIPANT est une personne."
"129","TRAVAILLER","travail","travail","1","travailler","exercer une activité professionnelle ou produire un effort","minuscules","non","absents","aucune","singulier ou nom massif","français","","travail","D","TRAVAILLER relève directement du travail."
"130","BEAUCOUP","quantité","quantité","10","beaucoup","en grande quantité ou intensité","minuscules","non","présents","aucune","singulier ou nom massif","français","","quantité","C","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement."
"131","CEPENDANT","liaison","liaison","3","cependant","indique une opposition ou une restriction","minuscules","non","absents","aucune","singulier ou nom massif","français","","relations logiques","B","CEPENDANT, PAR CONSEQUENT et PARCE QUE marquent opposition, conséquence et cause."
"132","SER","verbe auxiliaire","verbe auxiliaire","1","","exister ou avoir une certaine qualité","minuscules","non","absents","espaces internes","singulier ou nom massif","français","","verbe auxiliaire","D","SER est traité comme verbe d’état ou auxiliaire."
"133","ALGUNO","quantité","quantité","10","quelque","quantificateur indéfini, désigne une ou plusieurs entités","minuscules","non","présents","aucune","singulier ou nom massif","français","","quantité","C","Quantificateurs, niveau, élévation et million mêlent grammaire, mesure et changement."
"134","ABANDONNER","action","action","32","abandonner","quitter ou renoncer à quelque chose","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"135","PROJET","planification","planification","2","projet","plan ou programme pour réaliser quelque chose","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","","planification","D","STRATEGIE et PROJET relèvent de la planification."
"136","POR_TANTO","liaison","liaison","3","par conséquent","indique une conséquence","minuscules","non","absents","aucune","singulier ou nom massif","français","","relations logiques","B","CEPENDANT, PAR CONSEQUENT et PARCE QUE marquent opposition, conséquence et cause."
"137","NECESSAIRE","qualité","qualité","28","nécessaire","qui doit être fait ou exister","minuscules","non","présents","aucune","singulier ou nom massif","français","Qualité","qualité","C","Les 28 adjectifs couvrent accessibilité, durée, intensité, humanité, climat et logique."
"138","ADAPTER","action","action","32","adapter","ajuster pour convenir à un nouvel usage ou condition","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
"139","CONTINUER","action","action","32","continuer","poursuivre une action ou un état","minuscules","non","absents","aucune","singulier ou nom massif","international ou partagé","Action","action","C","Les 32 entrées mêlent verbes, noms d’action, mouvement, souffrance et risque."
