"category","family","ids","keys","forms","dependencies","functional_references","risk","question_to_david"
"E","consequence_discursive","136|152|192","POR_TANTO|DONC|PAR_CONSEQUENT","POR_TANTO=[en:therefore/adverb;es:por tanto/adverb;fr:par conséquent/adverb;it:pertanto/adverb;pt:portanto/adverb] | DONC=[fr:donc/adverb;it:quindi/adverb] | PAR_CONSEQUENT=[es:por consiguiente/adverb]","POR_TANTO:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | DONC:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | PAR_CONSEQUENT:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1}","","marqueurs proches mais non strictement interchangeables","DONC et PAR_CONSEQUENT doivent-ils rester deux concepts, et où rattacher POR_TANTO ?"
"E","souffrir_contenu","162|204","SOUFFRIR|SOUFFRIR_VERB","SOUFFRIR=[en:to suffer/verb;es:sufrir/verb;fr:souffrir/verb;it:soffrire/verb;pt:sofrer/verb] | SOUFFRIR_VERB=[en:suffer/verb]","SOUFFRIR:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | SOUFFRIR_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","la seconde entrée contient une forme anglaise à dédupliquer","Autoriser la fusion de SOUFFRIR_VERB vers SOUFFRIR après contrôle de la forme anglaise."
"E","augmenter_contenu","170|207","AUGMENTER|AUGMENTER_VERB","AUGMENTER=[en:to increase/verb;es:aumentar/verb;fr:augmenter/verb;it:aumentare/verb;pt:aumentar/verb] | AUGMENTER_VERB=[en:increase/verb]","AUGMENTER:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | AUGMENTER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","la seconde entrée contient une forme anglaise à dédupliquer ; AUGMENTATION reste distinct","Autoriser la fusion de AUGMENTER_VERB vers AUGMENTER."
"E","produire_contenu","175|210","PRODUIRE|PRODUIRE_VERB","PRODUIRE=[en:to produce/verb;es:producir/verb;fr:produire/verb;it:produrre/verb;pt:produzir/verb] | PRODUIRE_VERB=[en:produce/verb]","PRODUIRE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | PRODUIRE_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","la seconde entrée contient une forme anglaise à dédupliquer","Autoriser la fusion de PRODUIRE_VERB vers PRODUIRE."
"E","production_nourriciere","257|278","AGRICULTURAL_PRODUCTION|PRODUCTION_NOURRICIERE_NOUN","AGRICULTURAL_PRODUCTION=[en:agricultural production/noun;es:producción agrícola/noun;fr:production agricole/noun;it:produzione agricola/noun;pt:produção agrícola/noun] | PRODUCTION_NOURRICIERE_NOUN=[]","AGRICULTURAL_PRODUCTION:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | PRODUCTION_NOURRICIERE_NOUN:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","production agricole et production nourricière se recouvrent sans être nécessairement identiques","PRODUCTION_NOURRICIERE doit-elle rester un concept distinct de PRODUCTION_AGRICOLE ?"
"E","alimentation","258|279|323|330","FOOD_SUPPLY|ALIMENTATION_NOUN|ALIMENTATION_HUMAINE|ALIMENTATION","FOOD_SUPPLY=[en:food supply/noun;es:alimentación/noun;fr:alimentation/noun;it:alimentazione/noun;pt:alimentação/noun] | ALIMENTATION_NOUN=[en:food/noun] | ALIMENTATION_HUMAINE=[en:human food/noun;es:alimentación humana/noun;fr:alimentation humaine/noun;it:alimentazione umana/noun;pt:alimentação humana/noun] | ALIMENTATION=[en:feeding/noun]","FOOD_SUPPLY:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | ALIMENTATION_NOUN:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0} | ALIMENTATION_HUMAINE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | ALIMENTATION:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","disponibilité alimentaire, alimentation, nourriture et alimentation humaine ont des granularités différentes","Définir les frontières entre disponibilité, action de se nourrir et nourriture destinée aux humains."
"E","accelerer_contenu","183|282","ACCELERER|ACCELERER_VERB","ACCELERER=[en:to accelerate/verb;es:acelerar/verb;fr:accélérer/verb;it:accelerare/verb;pt:acelerar/verb] | ACCELERER_VERB=[en:accelerate/verb]","ACCELERER:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | ACCELERER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées verbales renseignées, l'une limitée à une forme anglaise","Autoriser la fusion de ACCELERER_VERB vers ACCELERER."
"E","total_contenu","225|268","TOTAL|TOTAL_ADJECTIVE","TOTAL=[es:total/adjective;fr:total/adjective;it:totale/adjective;pt:total/adjective] | TOTAL_ADJECTIVE=[en:total/adjective]","TOTAL:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | TOTAL_ADJECTIVE:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées adjectivales renseignées avec gloses quasi identiques","Autoriser la fusion de TOTAL_ADJECTIVE vers TOTAL."
"E","s_elever_contenu","194|216","S_ELEVER|S_ELEVER_VERB","S_ELEVER=[en:to rise/verb;es:elevarse/verb;fr:s'élever/verb;it:innalzarsi/verb;pt:elevar-se/verb] | S_ELEVER_VERB=[en:rise/verb;it:alzarsi/verb]","S_ELEVER:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | S_ELEVER_VERB:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées pronominales renseignées ; ELEVER, ELEVATION et SE_LEVER restent distincts","Autoriser la fusion de S_ELEVER_VERB vers S_ELEVER après déduplication des formes."
"E","risquer_contenu","223|267","RISQUER|RISQUER_VERB","RISQUER=[es:arriesgar/verb;fr:risquer/verb;it:rischiare/verb;pt:arriscar/verb] | RISQUER_VERB=[en:risk/verb]","RISQUER:{""forms"":4,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | RISQUER_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées verbales renseignées ; le nom RISQUE est distinct et seulement renommé","Autoriser la fusion de RISQUER_VERB vers RISQUER."
"E","subir","233|270","SUBIR|SUBIR_VERB","SUBIR=[fr:subir/verb;it:subire/verb] | SUBIR_VERB=[en:undergo/verb]","SUBIR:{""forms"":2,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | SUBIR_VERB:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","deux entrées renseignées avec couverture linguistique complémentaire","Autoriser la fusion vers SUBIR après contrôle des formes."
"E","ruiner_contenu","256|308","RUIN|RUINER","RUIN=[en:ruin/verb;es:arruinar/verb;fr:ruiner/verb;it:rovinare/verb;pt:arruinar/verb] | RUINER=[en:to ruin/verb]","RUIN:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | RUINER:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","RUIN est riche mais non français ; RUINER porte la bonne clé mais une seule forme","Quel ID doit porter RUINER et comment fusionner les six formes sans perte ?"
"E","devenir","276|307","DEVENIR_VERB|DEVENIR","DEVENIR_VERB=[en:become/verb;es:convertirse/verb;fr:devenir/verb;it:diventare/verb;pt:tornar-se/verb] | DEVENIR=[en:to become/verb]","DEVENIR_VERB:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | DEVENIR:{""forms"":1,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","DEVENIR est occupée par l'entrée la moins riche","Quel ID doit porter DEVENIR après fusion des contenus ?"
"E","autre_determinant","302|320","AUTRE|AUTRE_DETERMINANT","AUTRE=[en:other/adjective;es:otro/adjective;fr:autre/adjective;it:altro/adjective;pt:outro/adjective] | AUTRE_DETERMINANT=[]","AUTRE:{""forms"":5,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":1} | AUTRE_DETERMINANT:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","l'entrée déterminant est vide mais peut représenter une distinction grammaticale réelle","AUTRE_DETERMINANT doit-il être supprimé ou conservé comme concept grammatical distinct ?"
"E","de_preposition","300","DE_ARTICLE","DE_ARTICLE=[]","DE_ARTICLE:{""forms"":0,""inflected_forms"":0,""outgoing_relations"":0,""incoming_relations"":0,""connector_helps"":0,""ic_features"":0,""indirect_pattern_rules"":0}","","clé annoncée comme article, glose de préposition, aucune forme","Supprimer l'entrée vide ou la reconstruire ultérieurement comme DE_PREPOSITION ?"
